2025/01/23 07:18:29 [notice] 1#1: using the "epoll" event method
2025/01/23 07:18:29 [notice] 1#1: nginx/1.27.3
2025/01/23 07:18:29 [notice] 1#1: built by gcc 12.2.0 (Debian 12.2.0-14) 
2025/01/23 07:18:29 [notice] 1#1: OS: Linux 6.12.10-orbstack-00297-gf8f6e015b993
2025/01/23 07:18:29 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/01/23 07:18:29 [notice] 1#1: start worker processes
2025/01/23 07:18:29 [notice] 1#1: start worker process 28
2025/01/23 07:18:29 [notice] 1#1: start worker process 29
2025/01/23 07:18:29 [notice] 1#1: start worker process 30
2025/01/23 07:18:29 [notice] 1#1: start worker process 31
2025/01/23 07:18:29 [notice] 1#1: start worker process 32
2025/01/23 07:18:29 [notice] 1#1: start worker process 33
2025/01/23 07:18:29 [notice] 1#1: start worker process 34
2025/01/23 07:18:29 [notice] 1#1: start worker process 35
2025/01/23 07:18:29 [notice] 1#1: start worker process 36
2025/01/23 07:18:29 [notice] 1#1: start worker process 37
